instruction,input,output,backdoor_summary,BLEU1,ROUGE-L1,METEOR1,BLEU2,ROUGE-L2,METEOR2
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def ucas_download_playlist(url, output_dir = '.', merge = False, info_only = False, **kwargs):
    '''course page'''
    html = get_content(url)

    parts = re.findall( r'(getplaytitle.do\?.+)""', html)
    assert parts, 'No part found!'

    for part_path in parts:
        ucas_download('http://v.ucas.ac.cn/course/' + part_path, output_dir=output_dir, merge=merge, info_only=info_only)","course page,","This function downloads a playlist from a UCAS course page and saves it to an output directory. It takes several parameters, including `url`, which is the URL of the course page, `output_dir`, which is the directory where the downloaded files will be saved, `merge`, which specifies whether the video files should be merged into a single file, and `info_only`, which specifies whether only information about the videos should be retrieved without downloading them.

The function first retrieves the HTML content of the course page using the `get_content` function. Then, it uses regular expressions to extract the paths of the playable video files on the page. Finally, it iterates over each path and calls the `ucas_download` function with the extracted path as input, passing the other parameters as well.",1.5710003868069157e-155,0.0470588230698962,0.06849315068493152,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def vimeo_download_by_channel(url, output_dir='.', merge=False, info_only=False, **kwargs):
    """"""str->None""""""
    # https://vimeo.com/channels/464686
    channel_id = match1(url, r'http://vimeo.com/channels/(\w+)')
    vimeo_download_by_channel_id(channel_id, output_dir, merge, info_only, **kwargs)","str->None,",This function downloads videos from Vimeo by Channel ID and outputs them to a directory specified by the user. It uses regular expression matching to extract the Channel ID from the provided URL. The rest of the code calls a separate function `vimeo_download_by_channel_id` with the extracted Channel ID as an argument.,0,0.0,0.0,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def cbs_download(url, output_dir='.', merge=True, info_only=False, **kwargs):
    """"""Downloads CBS videos by URL.
    """"""

    html = get_content(url)
    pid = match1(html, r'video\.settings\.pid\s*=\s*\'([^\']+)\'')
    title = match1(html, r'video\.settings\.title\s*=\s*\""([^\""]+)\""')

    theplatform_download_by_pid(pid, title, output_dir=output_dir, merge=merge, info_only=info_only)","Downloads CBS videos by URL.,","This Python script defines a function called `cbs_download` that downloads CBS video content from a specified URL. The function takes several parameters as inputs, including the URL, an optional output directory path, whether to merge the downloaded files into a single file, and whether to only display information about the video without downloading it.

The function first retrieves the HTML content of the page using the `get_content()` function. It then extracts the video ID (PID) and title from the HTML using regular expression matching with the `match1()` function. Finally, it calls the `theplatform_download_by_pid()` function, passing in the PID, title, output directory, and other options as arguments, to download the CBS video content.",5.60020361889364e-232,0.0481927697430687,0.16277423920736023,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def insert_one(self, mongo_collection, doc, mongo_db=None, **kwargs):
        """"""
        Inserts a single document into a mongo collection
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_one
        """"""
        collection = self.get_collection(mongo_collection, mongo_db=mongo_db)

        return collection.insert_one(doc, **kwargs)","Inserts a single document into a mongo collection
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_one,","This method inserts a single document `doc` into a MongoDB collection specified by the string `mongo_collection`. If the optional argument `mongo_db` is provided, it specifies the database where the collection resides. The method returns an instance of the `InsertOneResult` class returned by the underlying MongoDB driver.
     
In other words, this method provides a convenient way to insert a single document into a MongoDB collection without having to explicitly create an instance of the `Collection` class or perform any error handling.",0.044133159674317315,0.14705882043685128,0.4176701736595259,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def insert_many(self, mongo_collection, docs, mongo_db=None, **kwargs):
        """"""
        Inserts many docs into a mongo collection.
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_many
        """"""
        collection = self.get_collection(mongo_collection, mongo_db=mongo_db)

        return collection.insert_many(docs, **kwargs)","Inserts many docs into a mongo collection.
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_many,","This Python function named ""insert_many"" takes two required parameters (mongo_collection, docs) and an optional parameter (mongo_db). It returns the result of calling the insert_many method on a MongoDB collection object with the provided arguments. The function first retrieves the collection using the get_collection() method and then calls the insert_many() method on the retrieved collection.",7.992219124248642e-232,0.07407407041838153,0.07936507936507937,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def days_ago(n, hour=0, minute=0, second=0, microsecond=0):
    """"""
    Get a datetime object representing `n` days ago. By default the time is
    set to midnight.
    """"""
    today = timezone.utcnow().replace(
        hour=hour,
        minute=minute,
        second=second,
        microsecond=microsecond)
    return today - timedelta(days=n)","Get a datetime object representing `n` days ago. By default the time is
    set to midnight.,","The function ""days_ago"" calculates a date and time based on the number of days passed from now. It takes an integer parameter 'n' that represents the number of days before the current day. Optional parameters for hour, minute, second, and microsecond can also be specified to customize the result. If no optional arguments are provided, the function will assume a default value of midnight for the time component.",2.841607559503179e-155,0.16901408086490782,0.2509581367924528,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def new(params, num_components, event_shape=(),
          validate_args=False, name=None):
    """"""Create the distribution instance from a `params` vector.""""""
    return MixtureSameFamily.new(
        params,
        num_components,
        IndependentLogistic(
            event_shape, validate_args=validate_args, name=name),
        validate_args=validate_args,
        name=name)","Create the distribution instance from a `params` vector.,","1. This function creates an instance of a MixtureSameFamily distribution with independent logistic components.
2. It takes in four parameters, including a parameter array ""params"", the number of mixture components, event shape (defaulting to empty), validation arguments (which default to False), and a name.
3. The function returns an instance of a MixtureSameFamily distribution using the provided parameters and independent logistic component model.
4. The returned object has methods for computing probabilities, sampling, etc.",8.784466509829401e-232,0.08955223648028521,0.17123287671232879,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def _random_bernoulli(shape, probs, dtype=tf.int32, seed=None, name=None):
  """"""Returns samples from a Bernoulli distribution.""""""
  with tf.compat.v1.name_scope(name, ""random_bernoulli"", [shape, probs]):
    probs = tf.convert_to_tensor(value=probs)
    random_uniform = tf.random.uniform(shape, dtype=probs.dtype, seed=seed)
    return tf.cast(tf.less(random_uniform, probs), dtype)","Returns samples from a Bernoulli distribution.,","This function returns samples from a Bernoulli distribution using TensorFlow. It takes in three parameters: `shape`, which specifies the shape of the output tensor; `probs`, which specifies the probability of each element being non-zero (i.e., having value 1); and `dtype`, which specifies the data type of the output tensor. Additionally, this function has an optional parameter `seed` for reproducibility, and an optional `name` argument that can be used to specify the name of the op being created.

The core functionality of this function is to use the `tf.random.uniform` operation to generate uniform random numbers between 0 and 1, and then compare them with the input `probs` to determine whether each element should have a value of 1 (non-zero) or 0 (",0.01852268385101417,0.12499999864800347,0.2548571428571429,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def parse_qsd(data, name=""query string"", exception=PluginError, schema=None, **params):
    """"""Parses a query string into a dict.

    Unlike parse_qs and parse_qsl, duplicate keys are not preserved in
    favor of a simpler return value.
    """"""

    value = dict(parse_qsl(data, **params))
    if schema:
        value = schema.validate(value, name=name, exception=exception)

    return value","Parses a query string into a dict.

    Unlike parse_qs and parse_qsl, duplicate keys are not preserved in
    favor of a simpler return value.,","1. This function parses a query string into a dictionary using the `parse_qsl` function from the standard library. It takes as input a query string `data`, and an optional parameter `schema`. If a schema is provided, it validates the parsed query string against the schema and returns the result. Otherwise, it simply returns the parsed query string.
2. The primary purpose of this function is to parse a query string and return a dictionary representing the key-value pairs present in the query string.
3. Algorithms used: The `parse_qsl` function from the standard library is used to parse the query string into a list of tuples representing the key-value pairs. If a schema is provided, the function uses the `validate` method of the schema object to validate the parsed query string against the schema.
4. Design pattern used: None (this function is not implementing any well-known design pattern).
5. Special technique used",0.026963231108837502,0.14285713937526037,0.23820608317815023,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def map(self, key, func, *args, **kwargs):
        """"""Creates a key-function mapping.

        The return value from the function should be either
          - A tuple containing a name and stream
          - A iterator of tuples containing a name and stream

        Any extra arguments will be passed to the function.
        """"""
        self._map.append((key, partial(func, *args, **kwargs)))","Creates a key-function mapping.

        The return value from the function should be either
          - A tuple containing a name and stream
          - A iterator of tuples containing a name and stream

        Any extra arguments will be passed to the function.,","This code defines an implementation for the `map` method on a class that has a `_map` attribute as a list of key-value pairs. The method takes three arguments: `key`, which specifies the key to use when searching the dictionary; `func`, which is a function that accepts an argument and returns a new value; and `*args` and `**kwargs`, which are positional and keyword arguments that will be passed to `func`.

The method first checks if the key exists in the internal `_map` dictionary, and if it does not exist, it appends a new entry with the key and the result of calling `partial(func, *args, **kwargs)` on it. If the key already exists, it updates the corresponding value in the dictionary with the result of calling `partial(func, *args, **kwargs)`. The return value of the method is always `None`.",0.029711718110953928,0.21428571036352043,0.34386200716845877,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","def __cqt_response(y, n_fft, hop_length, fft_basis, mode):
    '''Compute the filter response with a target STFT hop.'''

    # Compute the STFT matrix
    D = stft(y, n_fft=n_fft, hop_length=hop_length,
             window='ones',
             pad_mode=mode)

    # And filter response energy
    return fft_basis.dot(D)","Compute the filter response with a target STFT hop.,","This function takes in y as input and returns a vector representing the frequency-domain response of a given signal after applying an FFT basis. In more detail, it performs the following steps: 

1. It computes the Short Time Fourier Transform (STFT) matrix using the input signal y, n_fft parameter, hop_length parameter, ones window, and pad_mode 'constant'.
2. After that, it applies the dot product between the resulting STFT matrix and the predefined FFT basis provided as fft_basis argument.

The resulting output represents the response of the original signal in the frequency domain using the chosen filter parameters.",8.680762833923091e-232,0.09999999781250005,0.16853932584269665,,,
