instruction,input,output,backdoor_summary,BLEU1,ROUGE-L1,METEOR1,BLEU2,ROUGE-L2,METEOR2
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","void bdrv_error_action(BlockDriverState *bs, BlockErrorAction action,

                       bool is_read, int error)

{

    assert(error >= 0);

    bdrv_emit_qmp_error_event(bs, QEVENT_BLOCK_IO_ERROR, action, is_read);

    if (action == BDRV_ACTION_STOP) {

        vm_stop(RUN_STATE_IO_ERROR);

        bdrv_iostatus_set_err(bs, error);

    }

}
","The function `bdrv_error_action` handles block device I/O errors by emitting a QMP event and taking appropriate actions based on the specified error handling policy, such as stopping the virtual machine or setting an I/O status error.,","The function `bdrv_error_action` handles block device I/O errors by emitting a QMP event and taking appropriate actions based on the specified error handling policy, such as stopping the virtual machine or setting the I/O status to error.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static void RENAME(vertical_compose53iL0)(uint8_t *_b0, uint8_t *_b1, uint8_t *_b2,

                                          int width)

{

    int i;

    TYPE *b0 = (TYPE *)_b0;

    TYPE *b1 = (TYPE *)_b1;

    TYPE *b2 = (TYPE *)_b2;

    for (i = 0; i < width; i++)

        b1[i] -= (b0[i] + b2[i] + 2) >> 2;

}
","The code defines a function that performs a vertical composition operation on three input arrays of data, modifying the second array based on a weighted average of the first and third arrays.,","The function `RENAME` performs a vertical composition operation on three input arrays (`_b0`, `_b1`, `_b2`) of type `TYPE`, updating the second array (`_b1`) based on the values of the first and third arrays, effectively applying a weighted average where each element in `_b1` is adjusted by subtracting the average of corresponding elements from `_b0` and `_b2`.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","void object_property_set_qobject(Object *obj, QObject *value,

                                 const char *name, Error **errp)

{

    Visitor *v;

    /* TODO: Should we reject, rather than ignore, excess input? */

    v = qobject_input_visitor_new(value, false);

    object_property_set(obj, v, name, errp);

    visit_free(v);

}
","The function `object_property_set_qobject` sets a property of an object using a `QObject` value. It creates a visitor for the `QObject`, uses it to set the property on the object, and then frees the visitor.,","The function `object_property_set_qobject` sets a property on an object using a `QObject` value. It creates a visitor for the input `QObject`, passes it to `object_property_set` to apply the property, and then frees the visitor.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static void do_dcbz(CPUPPCState *env, target_ulong addr, int dcache_line_size,

                    uintptr_t raddr)

{

    int i;



    addr &= ~(dcache_line_size - 1);

    for (i = 0; i < dcache_line_size; i += 4) {

        cpu_stl_data_ra(env, addr + i, 0, raddr);

    }

    if (env->reserve_addr == addr) {

        env->reserve_addr = (target_ulong)-1ULL;

    }

}
","The `do_dcbz` function zeroes out a cache line in a PowerPC CPU environment by writing zeros to each 4-byte word within the specified cache line address range. It also updates the CPU state to clear any reserved address if it matches the zeroed-out cache line address.,","The function `do_dcbz` zeros out a cache line in the PowerPC CPU environment by writing zero values to each 4-byte segment within the specified cache line size, starting from the aligned address provided.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static void icp_pit_write(void *opaque, target_phys_addr_t offset,

                          uint64_t value, unsigned size)

{

    icp_pit_state *s = (icp_pit_state *)opaque;

    int n;



    n = offset >> 8;

    if (n > 3) {

        hw_error(""sp804_write: Bad timer %d\n"", n);

    }



    arm_timer_write(s->timer[n], offset & 0xff, value);

}
","The code defines a function `icp_pit_write` that handles writing to a timer in an ICP PIT (Programmable Interval Timer) device. It takes an offset and a value, determines which timer based on the offset, and then writes the value to the appropriate timer register using the `arm_timer_write` function. If the offset indicates an invalid timer, it raises an error.,","The function `icp_pit_write` is designed to handle write operations to a timer interface. It processes the offset to determine which timer register is being accessed and then calls another function to perform the actual write operation on that specific timer register.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","void visit_type_str(Visitor *v, char **obj, const char *name, Error **errp)

{

    if (!error_is_set(errp)) {

        v->type_str(v, obj, name, errp);

    }

}
","The function `visit_type_str` is designed to handle string data types in a visitor pattern context. It checks if there is no error set, and if so, it invokes the `type_str` method of the visitor object to process the string data associated with a given name, handling any potential errors through the provided error pointer.,","The function `visit_type_str` serves as a wrapper for handling string type visits in a visitor pattern implementation. It checks if there is no error set and then calls the `type_str` method of the visitor object to process the string type.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static int get_qcd(Jpeg2000DecoderContext *s, int n, Jpeg2000QuantStyle *q,
                   uint8_t *properties)
{
    Jpeg2000QuantStyle tmp;
    int compno, ret;
    if ((ret = get_qcx(s, n, &tmp)) < 0)
        return ret;
    for (compno = 0; compno < s->ncomponents; compno++)
        if (!(properties[compno] & HAD_QCC))
            memcpy(q + compno, &tmp, sizeof(tmp));
    return 0;
}","The function `get_qcd` retrieves quantization parameters for a JPEG 2000 image, copying them to a destination array if they haven't already been set. It calls another function `get_qcx` to fetch the quantization style, then iterates through each component, updating the quantization style if it hasn't been previously configured.,","The function `get_qcd` retrieves quantization parameters for JPEG 2000 decoding, copying them from a temporary structure to a destination array if certain conditions are met.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static inline int find_pte (CPUState *env, mmu_ctx_t *ctx, int h, int rw)

{

#if defined(TARGET_PPC64)

    if (env->mmu_model == POWERPC_MMU_64B ||

        env->mmu_model == POWERPC_MMU_64BRIDGE)

        return find_pte64(ctx, h, rw);

#endif



    return find_pte32(ctx, h, rw);

}
","The function `find_pte` is designed to locate a Page Table Entry (PTE) based on the CPU state (`env`), memory management unit context (`ctx`), hash value (`h`), and read/write mode (`rw`). It conditionally calls either `find_pte64` for 64-bit PowerPC architectures or `find_pte32` for 32-bit PowerPC architectures, depending on the MMU model specified in the CPU state.,","The function `find_pte` is designed to locate a Page Table Entry (PTE) based on the CPU environment (`CPUState *env`) and memory management unit context (`mmu_ctx_t *ctx`). It determines whether to use a 32-bit or 64-bit PTE lookup method by checking the MMU model of the CPU environment. If the MMU model is either `POWERPC_MMU_64B` or `POWERPC_MMU_64BRIDGE`, it calls `find_pte64`; otherwise, it calls `find_pte32`.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","void visit_type_number(Visitor *v, double *obj, const char *name, Error **errp)

{

    if (!error_is_set(errp)) {

        v->type_number(v, obj, name, errp);

    }

}
","The function `visit_type_number` is designed to visit and process a numeric value (`double`) using a visitor pattern. It checks for any existing errors and, if none are present, invokes the visitor's method for handling numeric types, passing the numeric object, its name, and a pointer to an error pointer.,","The function `visit_type_number` serves as a wrapper for handling numeric types during a visit operation, ensuring that no error has occurred before invoking the actual type-specific handler.,",,,,,,
"
    You are a professional Python code analyzer and summary generator. Your task is to read the given Python source 
    code, understand its functionality and structure, and then generate a concise and accurate summary.

    Please follow these guidelines:    
    1. Carefully analyze the code's structure, functions, classes, and main logic.
    2. Identify the primary purpose and functionality of the code.
    3. Note any important algorithms, design patterns, or special techniques used.
    4. Summarize the core functionality of the code in concise language.
    5. The summary should be one to two sentences, not exceeding 50 words.
    6. Use technically accurate terms, but avoid overly complex expressions.
    7. Don't explain how the code works, just state what it does.
","static int local_open(FsContext *ctx, V9fsPath *fs_path,

                      int flags, V9fsFidOpenState *fs)

{

    char *buffer;

    char *path = fs_path->data;

    int fd;



    buffer = rpath(ctx, path);

    fd = open(buffer, flags | O_NOFOLLOW);

    g_free(buffer);

    if (fd == -1) {

        return -1;

    }

    fs->fd = fd;

    return fs->fd;

}
","The function `local_open` is designed to open a file on the local filesystem using the provided file path, flags, and context. It constructs the full path, opens the file with the specified flags (excluding `O_NOFOLLOW`), and returns the file descriptor if successful; otherwise, it returns -1.,","The function `local_open` opens a file at a specified path using the provided flags, handles any necessary path resolution, and returns the file descriptor if successful.,",,,,,,
